# Time	S	X1	X2	X3	X4	X5	X6	P1	P2	Compartments[compartment]	Values[Keq]	Values[Km_sp]	Values[Vf]	Values[MAR1]	Values[MAR2]	Values[MAR3]	Values[MAR4]	Values[MAR5]	Values[MAR6]	Values[MAR7]	Values[MAR8]	Values[dG1]	Values[dG2]	Values[dG4]	Values[dG5]	Values[dG6]	Values[dG7]	Values[dG8]	Values[dG3]	
345	1247.06	405.746	121.457	73.4773	41.2389	54.5031	75.5318	19.5616	29.6029	1	1	50	100	0.325363	0.299343	0.604963	0.561248	0.474348	0.448742	1.38583	0.391925	-2.77252	-2.97833	-1.42623	-1.84161	-1.97863	0.80571	-2.31291	-1.24102	
350	1249.97	406.506	121.619	73.5604	41.277	54.5664	75.5918	19.5749	29.6177	1	1	50	100	0.325213	0.29918	0.604844	0.561131	0.474233	0.448668	1.38532	0.391811	-2.77366	-2.97968	-1.42674	-1.8422	-1.97904	0.804805	-2.31363	-1.2415	
355	1252.79	407.241	121.774	73.6405	41.3137	54.6275	75.6497	19.5878	29.6321	1	1	50	100	0.325068	0.299023	0.60473	0.561018	0.474123	0.448596	1.38483	0.391701	-2.77476	-2.98097	-1.42724	-1.84278	-1.97944	0.803932	-2.31433	-1.24197	
360	1255.51	407.95	121.924	73.7179	41.349	54.6864	75.7055	19.6001	29.6459	1	1	50	100	0.324928	0.298871	0.604619	0.560909	0.474017	0.448527	1.38436	0.391595	-2.77582	-2.98223	-1.42772	-1.84333	-1.97982	0.803091	-2.31499	-1.24242	
365	1258.14	408.635	122.069	73.7925	41.3832	54.7433	75.7593	19.6121	29.6593	1	1	50	100	0.324793	0.298725	0.604512	0.560804	0.473915	0.44846	1.3839	0.391493	-2.77685	-2.98344	-1.42818	-1.84386	-1.98019	0.802279	-2.31564	-1.24286	
370	1260.68	409.297	122.209	73.8646	41.4161	54.7981	75.8112	19.6236	29.6721	1	1	50	100	0.324663	0.298584	0.604409	0.560703	0.473816	0.448395	1.38346	0.391395	-2.77784	-2.9846	-1.42862	-1.84438	-1.98054	0.801496	-2.31626	-1.24328	
375	1263.14	409.937	122.345	73.9341	41.4479	54.8511	75.8613	19.6347	29.6845	1	1	50	100	0.324537	0.298448	0.60431	0.560606	0.47372	0.448333	1.38304	0.3913	-2.77879	-2.98573	-1.42905	-1.84488	-1.98089	0.800741	-2.31686	-1.24369	
380	1265.52	410.555	122.475	74.0013	41.4786	54.9023	75.9097	19.6454	29.6965	1	1	50	100	0.324416	0.298316	0.604214	0.560512	0.473629	0.448273	1.38263	0.391208	-2.77972	-2.98682	-1.42947	-1.84536	-1.98122	0.800012	-2.31744	-1.24408	
385	1267.82	411.153	122.601	74.0661	41.5082	54.9517	75.9563	19.6558	29.708	1	1	50	100	0.324299	0.298189	0.604122	0.560421	0.47354	0.448215	1.38224	0.39112	-2.78061	-2.98787	-1.42987	-1.84582	-1.98154	0.799309	-2.318	-1.24446	
390	1270.04	411.73	122.723	74.1287	41.5368	54.9994	76.0014	19.6658	29.7192	1	1	50	100	0.324186	0.298067	0.604032	0.560333	0.473454	0.448159	1.38186	0.391034	-2.78147	-2.98888	-1.43025	-1.84626	-1.98185	0.79863	-2.31853	-1.24482	
395	1272.19	412.288	122.841	74.1892	41.5644	55.0455	76.0449	19.6754	29.7299	1	1	50	100	0.324077	0.297948	0.603946	0.560249	0.473372	0.448104	1.38149	0.390952	-2.7823	-2.98986	-1.43063	-1.84669	-1.98214	0.797975	-2.31905	-1.24517	
400	1274.27	412.828	122.954	74.2476	41.591	55.09	76.0868	19.6847	29.7403	1	1	50	100	0.323971	0.297834	0.603863	0.560167	0.473292	0.448052	1.38114	0.390873	-2.7831	-2.99081	-1.43099	-1.84711	-1.98243	0.797343	-2.31956	-1.24551	
405	1276.29	413.35	123.064	74.304	41.6168	55.1329	76.1274	19.6937	29.7503	1	1	50	100	0.323869	0.297724	0.603782	0.560088	0.473215	0.448002	1.3808	0.390796	-2.78388	-2.99172	-1.43133	-1.84751	-1.98271	0.796732	-2.32004	-1.24584	
410	1278.23	413.854	123.17	74.3585	41.6416	55.1745	76.1665	19.7023	29.7599	1	1	50	100	0.323771	0.297618	0.603705	0.560012	0.473141	0.447953	1.38047	0.390722	-2.78463	-2.99261	-1.43167	-1.8479	-1.98298	0.796143	-2.32051	-1.24616	
415	1280.11	414.342	123.273	74.4111	41.6656	55.2146	76.2043	19.7107	29.7693	1	1	50	100	0.323676	0.297515	0.60363	0.559938	0.473069	0.447906	1.38015	0.390651	-2.78535	-2.99346	-1.43199	-1.84827	-1.98324	0.795573	-2.32096	-1.24647	
420	1281.93	414.813	123.372	74.462	41.6888	55.2533	76.2408	19.7188	29.7783	1	1	50	100	0.323584	0.297415	0.603557	0.559867	0.473	0.44786	1.37984	0.390582	-2.78605	-2.99429	-1.43231	-1.84864	-1.98349	0.795023	-2.32139	-1.24676	
425	1283.69	415.269	123.468	74.5111	41.7112	55.2908	76.2761	19.7266	29.787	1	1	50	100	0.323496	0.297319	0.603487	0.559799	0.472933	0.447816	1.37954	0.390515	-2.78673	-2.99508	-1.43261	-1.84898	-1.98373	0.794492	-2.32182	-1.24705	
430	1285.4	415.71	123.56	74.5586	41.7329	55.327	76.3102	19.7342	29.7954	1	1	50	100	0.32341	0.297227	0.60342	0.559732	0.472868	0.447774	1.37926	0.390451	-2.78738	-2.99585	-1.4329	-1.84932	-1.98397	0.793979	-2.32222	-1.24733	
435	1287.04	416.137	123.65	74.6045	41.7538	55.362	76.3431	19.7414	29.8035	1	1	50	100	0.323327	0.297137	0.603354	0.559668	0.472806	0.447733	1.37898	0.390389	-2.78802	-2.9966	-1.43318	-1.84965	-1.98419	0.793484	-2.32261	-1.24759	
440	1288.64	416.549	123.736	74.6489	41.774	55.3958	76.3749	19.7485	29.8113	1	1	50	100	0.323247	0.297051	0.603291	0.559606	0.472746	0.447693	1.37871	0.390329	-2.78863	-2.99732	-1.43346	-1.84996	-1.98441	0.793005	-2.32299	-1.24785	
